Player,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,TO,GP,MIN,FTM,2PM,A/TO,PF
Javonte Green,7.9,2.5,0.6,0.4,1.5,0.391,0.941,1.4,0.5,8,16.9,2.0,0.9,1.5,1.5
Kobe Brown,7.9,4.1,1.3,0.6,0.3,0.512,0.727,1.4,1.4,8,21.9,1.0,1.4,5.5,2.4
Micah Potter,7.9,4.1,0.9,0.3,0.3,0.529,0.867,0.9,0.6,7,13.6,1.9,1.7,1.0,1.4
Mitchell Robinson,7.8,10.3,1.2,0.7,1.3,0.742,0.333,0.0,1.2,6,20.0,0.2,3.8,4.0,1.3
Grant Williams,7.8,2.8,2.0,0.8,0.6,0.429,0.857,1.8,1.2,5,18.5,1.2,0.6,5.3,1.6
Jamir Watkins,7.8,3.0,2.3,0.3,2.0,0.546,0.429,1.0,1.8,4,18.5,0.8,2.0,5.3,1.8
Daniss Jenkins,7.7,2.3,5.0,0.6,1.6,0.362,0.696,0.6,1.9,7,21.3,2.3,1.9,17.5,1.0
Luka Garza,7.7,2.0,0.9,0.4,0.1,0.529,0.9,1.3,1.3,7,16.5,1.3,1.3,4.0,2.9
Donte DiVincenzo,7.6,4.6,2.1,0.1,1.0,0.34,0.833,1.7,1.1,7,28.1,0.7,0.9,12.7,1.7
Jaxson Hayes,7.6,3.4,0.8,0.0,0.8,0.546,0.778,0.0,0.2,5,20.4,2.8,2.4,0.0,2.0
Isaac Okoro,7.5,1.0,2.0,0.0,0.5,0.417,0.75,1.0,1.0,2,29.6,1.5,1.5,1.5,4.5
Elijah Harkless,7.4,1.9,2.3,0.3,0.7,0.286,0.842,1.1,1.6,7,23.1,2.3,0.9,6.7,2.3
Marcus Sasser,7.3,1.6,2.3,0.0,1.1,0.377,1.0,1.9,1.0,8,19.5,0.4,0.6,8.0,2.1
Luke Kennard,7.3,1.9,1.7,0.3,0.4,0.476,1.0,1.4,0.4,7,21.9,0.1,1.4,0.5,1.4
Luguentz Dort,7.3,3.5,0.7,0.3,0.5,0.255,0.714,1.7,1.0,6,27.0,1.7,0.3,2.3,3.0
Dean Wade,7.3,4.2,0.8,0.3,0.3,0.514,0.0,1.3,0.2,6,21.6,0.0,1.7,0.0,2.3
Alex Caruso,7.3,4.5,1.3,0.3,2.3,0.44,0.667,0.8,0.8,4,20.0,1.0,2.0,4.0,1.0
Gradey Dick,7.3,1.0,0.8,0.0,0.3,0.5,0.833,0.5,0.3,4,8.0,1.3,2.3,0.0,1.3
Carter Bryant,7.1,3.4,0.8,0.6,0.4,0.432,0.786,1.0,0.1,8,16.6,1.4,1.4,0.0,2.1
Killian Hayes,7.1,3.0,4.0,0.3,0.6,0.429,0.875,1.0,1.7,7,20.7,1.0,1.6,10.7,1.7
Kevin Huerter,7.0,3.3,2.6,0.6,0.6,0.375,1.0,1.0,0.5,8,20.3,0.8,1.6,7.0,1.0
Cam Thomas,7.0,0.7,2.2,0.0,0.3,0.441,0.533,0.7,0.5,6,13.0,1.3,1.8,6.0,0.8
Chaney Johnson,7.0,4.8,1.2,0.4,1.0,0.5,0.643,0.8,0.6,5,19.4,1.8,1.4,2.5,2.8
Drew Eubanks,7.0,6.3,0.8,0.8,0.3,0.632,0.444,0.0,0.5,4,15.1,1.0,3.0,3.0,1.5
Kevin Love,7.0,6.7,1.0,0.0,0.7,0.546,1.0,2.0,0.7,3,12.8,1.0,0.0,2.0,0.3
Kobe Sanders,6.8,2.3,1.3,0.0,1.3,0.536,1.0,1.5,1.3,6,19.0,0.3,1.0,4.5,3.0
Derik Queen,6.8,4.8,2.8,1.2,0.3,0.394,1.0,0.5,1.7,6,18.5,2.0,1.7,8.3,1.2
Julian Strawther,6.8,1.7,0.5,0.0,0.3,0.5,0.8,1.2,0.3,6,14.1,0.7,1.3,0.0,1.0
