RANK,PLAYER,TEAM,AGE,GP,W,L,MIN,USGPCT,PCTFGM,PCTFGA,PCT3PM,PCT3PA,PCTFTM,PCTFTA,PCTOREB,PCTDREB,PCTREB,PCTAST,PCTTOV,PCTSTL,PCTBLK,PCTBLKA,PCTPF,PCTPFD,PCTPTS
293,GUERSCHON YABUSELE,NYK,29,8,6,2,79.0,14.6,10.7,16.4,21.1,22.7,8.3,13.0,45.8,17.9,26.3,3.1,8.0,11.1,14.3,33.3,42.9,15.0,11.4
294,DANIEL GAFFORD,DAL,27,6,1,5,121.0,14.6,22.3,15.6,0.0,0.0,19.1,16.1,43.3,19.3,25.4,11.3,12.8,29.4,43.8,33.3,34.9,20.0,19.6
295,JEREMIAH ROBINSON-EARL,IND,25,5,1,4,87.0,14.6,17.2,17.7,11.8,12.1,12.9,13.2,40.0,33.3,35.8,9.1,5.9,28.6,0.0,30.0,10.8,17.5,15.9
296,DRAYMOND GREEN,GSW,35,10,6,4,287.0,14.6,12.3,12.8,18.6,16.7,5.2,9.5,10.0,23.6,21.1,34.1,30.2,15.9,24.0,15.8,30.3,14.8,12.0
296,HERBERT JONES,NOP,27,10,2,8,300.0,14.6,15.5,15.3,22.9,20.1,6.1,7.0,12.3,16.0,14.9,16.9,18.0,25.9,11.8,14.3,27.4,7.8,15.0
298,JAMAL SHEAD,TOR,23,10,5,5,174.0,14.5,12.5,14.2,22.2,19.3,16.7,16.1,8.7,12.6,11.5,42.7,21.6,25.0,0.0,22.7,23.0,27.3,14.3
299,JAYLIN WILLIAMS,OKC,23,11,10,1,198.0,14.5,11.5,16.0,22.8,28.3,3.2,3.8,20.0,27.6,26.3,25.3,16.7,18.4,27.6,0.0,23.2,10.6,11.2
300,DYSON DANIELS,ATL,22,11,6,5,369.0,14.4,13.4,14.0,3.5,4.3,7.0,9.2,20.8,21.4,21.2,25.0,24.7,31.7,15.0,18.8,17.4,12.3,11.3
301,JAHMIR YOUNG,MIA,25,2,2,0,10.0,14.3,10.0,12.5,0.0,6.7,0.0,0.0,0.0,16.7,14.3,40.0,33.3,0.0,0.0,50.0,28.6,0.0,8.0
301,SHARIFE COOPER,WAS,24,2,0,2,4.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
303,LIAM MCNEELEY,CHA,20,8,2,6,100.0,14.2,10.5,14.1,18.5,18.8,19.0,19.1,13.0,15.5,14.9,17.6,13.5,15.4,16.7,11.1,24.1,18.9,13.5
304,BUB CARRINGTON,WAS,20,11,1,10,309.0,14.2,9.2,13.0,19.0,15.6,10.0,9.8,4.7,20.4,16.8,31.5,25.6,17.9,4.9,11.1,20.5,12.8,10.4
305,DEVIN CARTER,SAC,23,7,1,6,43.0,14.2,2.9,12.5,0.0,17.9,13.8,11.8,25.0,13.3,15.8,31.6,25.0,62.5,33.3,50.0,19.0,14.3,5.8
306,JORDAN MCLAUGHLIN,SAS,29,8,6,2,74.0,14.1,14.9,17.5,29.4,30.0,8.3,6.7,15.0,6.7,9.2,25.6,10.5,43.8,0.0,0.0,19.4,7.3,15.0
307,CHRIS BOUCHER,BOS,32,6,1,5,64.0,14.1,13.0,16.0,6.3,15.6,9.5,8.3,6.3,27.3,20.4,10.0,6.3,26.7,71.4,20.0,38.7,8.0,11.6
308,KEVON LOONEY,NOP,29,5,2,3,80.0,14.1,13.7,14.0,4.8,6.8,13.0,19.4,52.2,22.8,31.3,29.6,17.4,7.7,80.0,28.6,31.4,10.7,12.3
309,TERANCE MANN,BKN,29,10,1,9,263.0,14.1,17.1,15.4,14.7,14.6,10.7,10.9,27.0,9.4,14.9,25.6,10.1,29.7,10.0,14.3,26.2,16.0,15.7
310,JUSTIN EDWARDS,PHI,21,8,6,2,92.0,14.0,14.6,17.8,26.7,28.9,0.0,0.0,15.8,16.7,16.4,9.8,10.3,7.1,18.2,20.0,31.4,0.0,13.6
311,LANDRY SHAMET,NYK,28,9,6,3,163.0,14.0,13.1,14.6,34.0,26.1,19.6,19.2,7.5,12.8,11.1,8.9,10.4,9.7,7.7,16.7,10.4,11.8,16.7
312,BRUCE BROWN,DEN,29,9,7,2,185.0,14.0,12.9,14.3,14.0,12.4,8.2,8.9,20.8,18.6,19.2,12.3,18.5,25.9,11.1,33.3,28.9,10.1,12.2
313,MOUSSA CISSE,DAL,23,7,1,6,75.0,14.0,17.5,11.9,0.0,0.0,11.8,20.0,60.0,22.9,33.8,2.4,25.0,4.3,58.3,14.3,31.3,25.7,15.0
314,DERRICK JONES JR.,LAC,28,10,3,7,253.0,14.0,17.2,15.4,19.7,19.7,19.0,20.8,18.8,8.1,10.5,7.6,5.6,17.9,30.0,25.0,19.8,17.5,17.7
315,DAVION MITCHELL,MIA,27,11,7,4,331.0,13.9,13.8,13.7,12.5,13.4,5.6,8.4,10.2,10.3,10.2,41.0,21.3,25.4,5.3,12.9,24.8,12.3,12.2
316,DRU SMITH,MIA,27,11,7,4,188.0,13.9,13.8,15.1,16.1,17.0,9.4,8.7,17.9,6.8,9.2,31.0,15.6,46.2,9.5,16.7,21.7,12.3,13.3
317,JULIAN CHAMPAGNIE,SAS,24,10,8,2,288.0,13.9,11.6,14.5,23.4,24.8,14.3,15.4,15.4,20.8,19.5,9.8,14.0,25.9,7.9,20.0,11.3,9.0,13.4
318,TRAYCE JACKSON-DAVIS,GSW,25,7,4,3,74.0,13.9,19.7,16.4,0.0,0.0,24.0,20.0,31.8,17.1,22.2,20.0,3.8,15.8,50.0,16.7,29.7,18.5,17.8
319,COREY KISPERT,WAS,26,11,1,10,213.0,13.9,16.9,14.9,24.6,21.9,15.6,16.7,8.3,13.6,12.4,18.8,10.5,6.5,9.1,11.1,13.9,16.9,17.7
320,JAKOB POELTL,TOR,30,6,3,3,137.0,13.8,16.3,13.0,0.0,0.0,7.0,11.7,57.1,26.7,33.9,12.0,22.2,7.7,27.3,10.5,33.3,15.4,13.3
321,PATRICK WILLIAMS,CHI,24,10,6,4,229.0,13.8,13.2,14.6,27.4,23.5,11.1,13.1,8.2,15.2,13.6,12.2,12.3,27.9,19.0,8.0,18.3,13.9,14.4
322,PEYTON WATSON,DEN,23,9,7,2,191.0,13.8,11.7,13.2,7.8,10.9,16.8,17.0,24.5,18.5,20.1,12.0,17.5,31.4,58.8,21.1,15.1,15.9,12.3
323,BEN SHEPPARD,IND,24,10,1,9,267.0,13.8,12.6,15.5,16.7,21.6,10.3,9.4,11.3,20.9,18.0,16.2,9.3,13.3,9.1,19.2,18.4,11.1,12.6
324,NEEMIAS QUETA,BOS,26,11,5,6,262.0,13.7,17.2,12.5,0.0,0.9,18.8,24.5,47.1,31.8,36.1,12.4,17.7,15.8,41.7,3.7,29.9,25.7,15.3
325,CAMERON JOHNSON,DEN,29,9,7,2,239.0,13.7,11.7,15.6,15.7,20.6,10.9,10.8,7.0,11.5,10.4,11.5,7.2,12.8,6.3,27.8,24.5,12.2,11.9
